label,task_type,method,model_id,weight_source,backbone_train_mode,checkpoint_path,randomize_scope,randomize_layers,seed,layer,token_position,pooling_mode,artifact_path,train_accuracy,train_macro_f1,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,baseline_train_accuracy,baseline_train_macro_f1,baseline_val_accuracy,baseline_val_macro_f1,baseline_test_accuracy,baseline_test_macro_f1,shuffled_train_accuracy,shuffled_train_macro_f1,shuffled_val_accuracy,shuffled_val_macro_f1,shuffled_test_accuracy,shuffled_test_macro_f1,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,baseline_train_r2,baseline_train_rmse,baseline_train_mae,baseline_val_r2,baseline_val_rmse,baseline_val_mae,baseline_test_r2,baseline_test_rmse,baseline_test_mae,shuffled_train_r2,shuffled_train_rmse,shuffled_train_mae,shuffled_val_r2,shuffled_val_rmse,shuffled_val_mae,shuffled_test_r2,shuffled_test_rmse,shuffled_test_mae,run_arm,issue3_matched_metric_name,issue3_reference
frequency_bucket,categorical,linear_probe,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,full,[],42,5,final_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/frequency_bucket__layer_5__final_context__series_mean.pt,0.996114996114996,0.9924609250977972,0.8479166666666667,0.7426386879273748,0.8352059925093633,0.6876923179168855,0.5027195027195027,0.4617680730606974,0.478125,0.4477912684060966,0.4747191011235955,0.4218364461856904,0.7257187257187258,0.4848900584941194,0.6364583333333333,0.4744561270315335,0.6638576779026217,0.4670562381241633,,,,,,,,,,,,,,,,,,,,,,,,,,,,pretrained_lp,test_accuracy,0.835
metric_type,categorical,linear_probe,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,full,[],42,9,all_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/metric_type__layer_9__all_context__series_mean.pt,0.752359437751004,0.7343682744532446,0.5760722041259501,0.5327143474530075,0.5732212475633528,0.5372571624416135,0.3654618473895582,0.3419397992612678,0.3659066232356134,0.3521010000056826,0.3440545808966861,0.3286806536390922,0.3487449799196787,0.3324789519964833,0.3627171552660152,0.3397443771328469,0.3503289473684211,0.333767833944274,,,,,,,,,,,,,,,,,,,,,,,,,,,,pretrained_lp,test_accuracy,0.61
domain,categorical,linear_probe,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,full,[],42,5,all_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/domain__layer_5__all_context__series_mean.pt,0.7099217986314761,0.6773327801180667,0.5103751660026561,0.4646876396641115,0.5629325259515571,0.5019349636833512,0.3880742913000977,0.3734561943902388,0.4223107569721115,0.4002423888571896,0.3886966551326413,0.3656848086711832,0.3316837732160312,0.3064254003952043,0.3518426294820717,0.3246262502612267,0.3400374855824682,0.3089360994746895,,,,,,,,,,,,,,,,,,,,,,,,,,,,pretrained_lp,test_accuracy,0.592
shift_risk,continuous,linear_probe,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,full,[],42,5,final_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/shift_risk__layer_5__final_context__series_mean.pt,,,,,,,,,,,,,,,,,,,0.8396773690956376,38435.22855538521,25539.69787249668,-5.105382675796483,198346.99812863345,119894.45107237458,-2.006640879324373,182987.88959983035,110282.11571139148,0.0457185582732986,93771.37655039495,29764.72785245704,0.0189710277330826,79507.86721376197,29351.97329495208,0.0342176249886023,103710.13682127994,30382.641119407526,-0.7388873323440139,126580.78197310989,49174.11613979176,-5.998406798808428,212358.07441918,128688.75786801586,-2.8731626683008265,207689.4508770234,131746.20359592757,pretrained_lp,test_r2,0.165
coordination,continuous,linear_probe,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,full,[],42,11,all_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed42/probes/artifacts/coordination__layer_11__all_context__series_mean.pt,,,,,,,,,,,,,,,,,,,0.3110369161549339,0.3784604288231557,0.3146643881642104,0.0711626386772142,0.440457370419869,0.3624783392882701,0.0346556341692246,0.4516661585550663,0.383318812541911,0.0911933610613076,0.4346685781867757,0.3986621771699621,0.0491927297862483,0.4456360238082341,0.4129571021446248,0.0699146479441125,0.4433409230721309,0.4126501881272671,-0.0341105840945232,0.4636667919845116,0.4312905894863048,-0.0542466464865318,0.4692509470200336,0.4341343429196421,-0.0435151108022024,0.4695975149194299,0.438704169633721,pretrained_lp,test_r2,0.122
frequency_bucket,categorical,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],42,5,final_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/frequency_bucket__layer_5__final_context__series_mean.pt,0.7995337995337995,0.7009262795339419,0.659375,0.5247085827104269,0.6573033707865169,0.4831055348679756,0.5027195027195027,0.4617680730606974,0.478125,0.4477912684060966,0.4747191011235955,0.4218364461856904,0.6705516705516705,0.4934425499049429,0.6604166666666667,0.5163085140582111,0.6573033707865169,0.4708204497825816,,,,,,,,,,,,,,,,,,,,,,,,,,,,random_init_lp,test_accuracy,0.835
metric_type,categorical,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],42,9,all_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/metric_type__layer_9__all_context__series_mean.pt,0.5129016064257028,0.4898620749102365,0.4434039087947882,0.4035017562464674,0.4120979532163742,0.3807600678170171,0.3654618473895582,0.3419397992612678,0.3659066232356134,0.3521010000056826,0.3440545808966861,0.3286806536390922,0.3539658634538152,0.3345858013417942,0.3560667752442997,0.3323476056923581,0.3424707602339181,0.3264036959459754,,,,,,,,,,,,,,,,,,,,,,,,,,,,random_init_lp,test_accuracy,0.61
domain,categorical,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],42,5,all_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/domain__layer_5__all_context__series_mean.pt,0.5019550342130987,0.4699822372186972,0.4301128818061089,0.3832400863066222,0.3971309111880046,0.353524623983881,0.3880742913000977,0.3734561943902388,0.4223107569721115,0.4002423888571896,0.3886966551326413,0.3656848086711832,0.3365102639296187,0.3121962939659351,0.3388944223107569,0.3128974752272412,0.3377306805074971,0.3092726220835108,,,,,,,,,,,,,,,,,,,,,,,,,,,,random_init_lp,test_accuracy,0.592
shift_risk,continuous,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],42,5,final_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/shift_risk__layer_5__final_context__series_mean.pt,,,,,,,,,,,,,,,,,,,0.3532420542612625,77197.44715904664,34147.06944889458,-0.2722668817202873,90543.71261788592,45869.9404821564,-0.10796521258928,111082.2407799972,43651.4311742539,0.0457185582732986,93771.37655039495,29764.72785245704,0.0189710277330826,79507.86721376197,29351.97329495208,0.0342176249886023,103710.13682127994,30382.641119407526,-0.1565043228968992,103229.94183933588,39188.62399765159,-0.2620624007934187,90179.8692468228,42804.12135537355,-0.0918181930600527,110269.83705433924,41337.87895739166,random_init_lp,test_r2,0.165
coordination,continuous,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],42,11,all_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_11__all_context__series_mean.pt,,,,,,,,,,,,,,,,,,,0.088022229389425,0.4354262701488146,0.3958734936347158,-0.0335782149750529,0.4646283625721535,0.4219923744256314,-0.043714871394761,0.4696424604060452,0.4314151329087501,0.0911933610613076,0.4346685781867757,0.3986621771699621,0.0491927297862483,0.4456360238082341,0.4129571021446248,0.0699146479441125,0.4433409230721309,0.4126501881272671,-0.0292806783377315,0.4625827261339665,0.4304781238357761,-0.0316492237123486,0.464194586681198,0.4320842391353233,-0.0283129734397371,0.4661643699830531,0.437945123260144,random_init_lp,test_r2,0.122
