label,task_type,method,model_id,weight_source,backbone_train_mode,checkpoint_path,randomize_scope,randomize_layers,seed,layer,token_position,pooling_mode,artifact_path,train_accuracy,train_macro_f1,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,baseline_train_accuracy,baseline_train_macro_f1,baseline_val_accuracy,baseline_val_macro_f1,baseline_test_accuracy,baseline_test_macro_f1,shuffled_train_accuracy,shuffled_train_macro_f1,shuffled_val_accuracy,shuffled_val_macro_f1,shuffled_test_accuracy,shuffled_test_macro_f1,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,baseline_train_r2,baseline_train_rmse,baseline_train_mae,baseline_val_r2,baseline_val_rmse,baseline_val_mae,baseline_test_r2,baseline_test_rmse,baseline_test_mae,shuffled_train_r2,shuffled_train_rmse,shuffled_train_mae,shuffled_val_r2,shuffled_val_rmse,shuffled_val_mae,shuffled_test_r2,shuffled_test_rmse,shuffled_test_mae
cardinality_bucket,categorical,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],42,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed42/probes/artifacts/cardinality_bucket__fno__window.pt,0.9906759906759907,0.9930493943503345,0.9708333333333333,0.957487569443688,0.9737827715355806,0.961427315378758,0.7622377622377622,0.6139077245889796,0.7739583333333333,0.6153621489899659,0.7715355805243446,0.6440320602589389,0.3247863247863248,0.22010929632849216,0.3385416666666667,0.22209319073316452,0.29868913857677903,0.19700517771160495,,,,,,,,,,,,,,,,,,,,,,,,,,,
coordination,continuous,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],42,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed42/probes/artifacts/coordination__fno__window.pt,,,,,,,,,,,,,,,,,,,0.19506433082889674,0.4090751397742679,0.35798056470845313,0.07686436188482004,0.4391034025280627,0.3921897188023043,0.07516742721924341,0.44208723740955946,0.39420617277618875,0.09119327284112211,0.43466859928397067,0.39866496951999103,0.04922254201952547,0.44562903737173104,0.4129636022078325,0.0699327481289348,0.44333660917143863,0.4126569045485574,-0.08679045192643464,0.47533020024428563,0.4498390104555074,-0.0690569480664287,0.4725355247325233,0.4474268523782181,-0.04854635079308456,0.4707282205349551,0.4458616047483705
current_burstiness,continuous,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],42,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed42/probes/artifacts/current_burstiness__fno__window.pt,,,,,,,,,,,,,,,,,,,0.17890588504925686,3035402.7312689777,1352178.8242823496,0.04299440586588654,3229670.733710704,1417493.486615457,0.014671853942168522,2576648.653503094,1289775.5143874246,0.6554049268574571,1966411.397575043,899188.6947794372,0.5612579563071403,2186782.737031766,974700.8558207537,0.4446067609409414,1934483.603767905,863807.8637384162,0.01928446840769238,3317350.633520123,1323847.134031186,0.01129636148352775,3282721.7759876526,1340216.9315582493,0.01161862422140647,2580637.6876496007,1205428.4442778481
current_sparsity,continuous,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],42,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed42/probes/artifacts/current_sparsity__fno__window.pt,,,,,,,,,,,,,,,,,,,0.6208005811783679,0.07833994070858945,0.02369895417868466,-15.062855011047006,0.06542649860435878,0.02000098886201158,-0.5107731710768026,0.06530709368552387,0.021832283272334697,0.9999993779468034,0.00010033747553706609,3.1280481546906556e-05,0.9999976845570147,2.484044405486431e-05,1.8811125380874953e-05,0.9999992272810436,4.670587454170716e-05,2.103780238745889e-05,-0.3276511071291648,0.14658562665697517,0.03188159663907506,-7.677092021279385,0.04808719126006721,0.014971177413826808,-0.9598522064062496,0.07438277666299618,0.019670157888660045
domain,categorical,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],42,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed42/probes/artifacts/domain__fno__window.pt,0.5630498533724341,0.464450564032884,0.5192563081009296,0.3503508550620031,0.4867358708189158,0.3055611742512035,0.3890518084066471,0.37423807714014523,0.4249667994687915,0.40021947986003203,0.3875432525951557,0.3648154914139569,0.42717497556207235,0.24966322356153944,0.48738379814077026,0.2958405456331751,0.4913494809688581,0.29129672137396634,,,,,,,,,,,,,,,,,,,,,,,,,,,
frequency_bucket,categorical,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],42,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed42/probes/artifacts/frequency_bucket__fno__window.pt,0.7676767676767676,0.6529367253233089,0.7291666666666666,0.6078209551822312,0.7256554307116105,0.3932961403029076,0.5027195027195027,0.46176807306069745,0.478125,0.4477912684060966,0.4747191011235955,0.4218364461856904,0.8422688422688422,0.4571910586250527,0.8197916666666667,0.45048654836863194,0.8539325842696629,0.46689534243770076,,,,,,,,,,,,,,,,,,,,,,,,,,,
future_burstiness,continuous,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],42,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed42/probes/artifacts/future_burstiness__fno__window.pt,,,,,,,,,,,,,,,,,,,0.1438025100071666,3639595.7148776157,1476318.985698937,0.0264069946520199,3403643.441693429,1599970.1344187022,0.023949752736702523,2913716.147794253,1462666.3898729158,0.15124961320841224,3623732.7622646997,1167241.219662599,0.09828757959010581,3275588.6786012985,1272556.9893644012,0.09284469740095569,2809001.5230084774,1149835.98468199,0.013461385897309497,3906818.3076568157,1320855.515898084,-0.0013976052233994896,3451903.209736474,1374843.707385444,0.02124492098803088,2917750.6016969187,1237811.2742279822
future_sparsity,continuous,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],42,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed42/probes/artifacts/future_sparsity__fno__window.pt,,,,,,,,,,,,,,,,,,,0.5990959143785255,0.08055140004488635,0.029463930189372173,-14.478263013150105,0.06422489758785965,0.024516186504236735,-0.6474164740162187,0.06819655358066222,0.0271874638344074,0.9999993485377122,0.00010268275021555182,3.240920706893042e-05,0.9999976251630956,2.5157020515819244e-05,1.926644966127319e-05,0.9999992494761494,4.6030211903776445e-05,2.0918735544759305e-05,-0.32764454990575254,0.1465864274809299,0.03188191226697306,-7.677461424373808,0.04808821483848239,0.01497068977332674,-0.9599027964303641,0.07438373668492262,0.019669783626044733
metric_type,categorical,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],42,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed42/probes/artifacts/metric_type__fno__window.pt,0.36947791164658633,0.3717959601689438,0.254071661237785,0.24719624606580956,0.31871345029239767,0.31792392883079157,0.3670682730923695,0.34116767093970246,0.36807817589576547,0.35330984001564625,0.347953216374269,0.33257208130918386,0.3927710843373494,0.3237195202544446,0.31921824104234525,0.2663878706068667,0.3538011695906433,0.2949547962817945,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift_risk,continuous,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],42,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed42/probes/artifacts/shift_risk__fno__window.pt,,,,,,,,,,,,,,,,,,,0.018423558673835494,95102.97783145202,30727.598080179803,-0.003852763730288755,80427.43095881953,30384.433624080386,-0.0014320754598275975,105606.90578088067,33166.155833799894,0.045718558273298626,93771.37655039495,29764.727852457036,0.01897102773308268,79507.86721376197,29351.97329495208,0.03421762498860237,103710.13682127994,30382.641119407526,-0.0024824326301855493,96110.41175320669,30309.00396699388,-0.0034716224631392567,80412.16122789113,29196.553312867854,0.00017012543375494182,105522.39120684032,31187.088452734097
