label,task_type,method,model_id,weight_source,backbone_train_mode,checkpoint_path,randomize_scope,randomize_layers,seed,layer,token_position,pooling_mode,artifact_path,train_accuracy,train_macro_f1,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,baseline_train_accuracy,baseline_train_macro_f1,baseline_val_accuracy,baseline_val_macro_f1,baseline_test_accuracy,baseline_test_macro_f1,shuffled_train_accuracy,shuffled_train_macro_f1,shuffled_val_accuracy,shuffled_val_macro_f1,shuffled_test_accuracy,shuffled_test_macro_f1,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,baseline_train_r2,baseline_train_rmse,baseline_train_mae,baseline_val_r2,baseline_val_rmse,baseline_val_mae,baseline_test_r2,baseline_test_rmse,baseline_test_mae,shuffled_train_r2,shuffled_train_rmse,shuffled_train_mae,shuffled_val_r2,shuffled_val_rmse,shuffled_val_mae,shuffled_test_r2,shuffled_test_rmse,shuffled_test_mae
cardinality_bucket,categorical,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],43,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed43/probes/artifacts/cardinality_bucket__fno__window.pt,0.9933665008291874,0.9939652948637893,0.9709737827715356,0.9541392552656633,0.9670542635658915,0.9474923095867542,0.7694859038142621,0.6220017195567058,0.7612359550561798,0.6060155878135767,0.7422480620155039,0.6329347299775476,0.5165837479270315,0.36315065659126655,0.5131086142322098,0.3937713345476219,0.4757751937984496,0.3629883263176872,,,,,,,,,,,,,,,,,,,,,,,,,,,
coordination,continuous,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],43,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed43/probes/artifacts/coordination__fno__window.pt,,,,,,,,,,,,,,,,,,,0.23303306530933487,0.40470369340239093,0.3543944575114926,0.048086680483195976,0.44611121506144474,0.39915027811230347,0.000323134723794416,0.44523105024792176,0.390407663640068,0.09207406773642357,0.4403257237514018,0.4070133655265994,0.07031798549436008,0.44087112364132736,0.40734772286705406,0.03774279709830386,0.43681868662441803,0.3981210888865084,-0.14937046388521757,0.495426078630461,0.46330072151290047,-0.09176022152809638,0.4777581153688464,0.44202438449619635,-0.1412374706880446,0.4757114828872264,0.4390336775668543
current_burstiness,continuous,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],43,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed43/probes/artifacts/current_burstiness__fno__window.pt,,,,,,,,,,,,,,,,,,,0.14178011586939865,2735651.0765993586,1140786.5039407625,0.03182354210234817,3643918.53724947,1332596.7950566374,0.03563545694382397,4140276.7493001553,1556660.9577664237,0.620711647269621,1818637.6206331556,810337.8223603853,0.4779248837376384,2675826.1722561265,976362.4443963384,0.5666565810072737,2775395.356614312,1162415.8186426363,0.016798334157486217,2928078.531159979,1047280.8847556012,0.0023913434163429503,3698890.755036549,1225608.9948048159,-0.0046354101415952975,4225839.4721070025,1430716.1791349915
current_sparsity,continuous,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],43,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed43/probes/artifacts/current_sparsity__fno__window.pt,,,,,,,,,,,,,,,,,,,0.6334535225997555,0.0908053372418634,0.027415593976392774,-6.383384200625351,0.06642597703552185,0.020426060345149443,0.3766724293599494,0.0739800818165,0.021030397468441448,0.9999992674826206,0.00012836771690936954,4.8241730141048866e-05,0.999996479536477,4.586803565753245e-05,3.2479353629683904e-05,0.9999991530811604,8.623380229503858e-05,3.784180456548702e-05,-0.050992395833248993,0.15376115673402452,0.044138700704385296,-1.7205548531336317,0.04032171173336887,0.02291093139180195,-0.15869926943107782,0.10086535130379624,0.03249863409184555
domain,categorical,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],43,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed43/probes/artifacts/domain__fno__window.pt,0.5558882235528942,0.5156898656898656,0.4652532391048292,0.4144002080706575,0.44114002478314746,0.4021277016862756,0.4221556886227545,0.4141724269026059,0.40636042402826855,0.394326188575609,0.40644361833952913,0.38787901674499614,0.3473053892215569,0.3000172783191651,0.34393404004711425,0.2836179077578302,0.32589838909541513,0.27831721064824444,,,,,,,,,,,,,,,,,,,,,,,,,,,
frequency_bucket,categorical,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],43,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed43/probes/artifacts/frequency_bucket__fno__window.pt,0.8325041459369817,0.6746791019662516,0.7846441947565543,0.6240702763919073,0.7577519379844961,0.5918109040280986,0.4461028192371476,0.4047137688869972,0.40823970037453183,0.38300206221754196,0.4738372093023256,0.4303958430533066,0.8739635157545605,0.4728354019762346,0.8520599250936329,0.30670711156049885,0.8488372093023255,0.4591194968553459,,,,,,,,,,,,,,,,,,,,,,,,,,,
future_burstiness,continuous,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],43,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed43/probes/artifacts/future_burstiness__fno__window.pt,,,,,,,,,,,,,,,,,,,0.1195646252272562,4621317.791732799,1687669.141763968,0.03540254831533285,3290790.9322942523,1591805.259475124,0.056560669785875595,4496624.075393006,1835682.8785840292,0.29871943028296044,4124421.0592623204,1345343.751816967,-0.5897362050052792,4224640.609132527,1372565.2363753484,0.04844184294798859,4515930.619916051,1597279.9612619418,0.013787406364252575,4891052.952017754,1459520.1941371928,0.008691878649212392,3336042.455070988,1352785.4833118443,0.0074671102113894605,4612135.376200059,1570094.6314715017
future_sparsity,continuous,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],43,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed43/probes/artifacts/future_sparsity__fno__window.pt,,,,,,,,,,,,,,,,,,,0.6262217630763225,0.09169670918544957,0.029113049801148684,-6.4601261202335865,0.0668053358981927,0.022552760363266932,0.36147203927061256,0.07485728799065189,0.022710077367116544,0.9999992514186213,0.00012976759450211494,4.841908924398461e-05,0.9999951828825313,5.368237056535246e-05,3.345919581778869e-05,0.9999988840954748,9.895953561128521e-05,3.978045210993041e-05,-0.052190318063664254,0.15384872271981062,0.04413808474338816,-1.7437427054638928,0.040514432374182806,0.02291768602329247,-0.16048420094096194,0.10091686377893465,0.032516317582840834
metric_type,categorical,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],43,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed43/probes/artifacts/metric_type__fno__window.pt,0.4618055555555556,0.4570640358457418,0.3515850144092219,0.3492358644400278,0.4114114114114114,0.40488522058002946,0.4097222222222222,0.3733528120143555,0.3611911623439001,0.3298163430996024,0.4214214214214214,0.390223101860624,0.4010416666666667,0.2584684069216086,0.3659942363112392,0.23616078445328184,0.34034034034034033,0.22561417676750106,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift_risk,continuous,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],43,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed43/probes/artifacts/shift_risk__fno__window.pt,,,,,,,,,,,,,,,,,,,0.014008229511822012,101262.36753794509,27924.351824203848,-0.005843292223240315,75605.43650414192,28190.967245259562,-0.00327719232329593,111443.92197728992,31083.09472280919,0.008465526375190824,101546.5893156287,26671.036988077503,0.04566546525110504,73644.13799491504,26166.917776490896,0.04895484235726322,108504.18447918394,29310.70504630991,-0.002359316031677716,102099.3900436357,27901.65643909138,-0.004756671035552662,75564.58686589127,27232.586114001937,-0.003508269670523978,111456.75526174855,30433.846264427564
