mode,strength,subset,probe_score,wape,mase,wql,median_spread,median_forecast_change,window_count
baseline,0.0,high,-7721.546011668238,0.5296802866146824,59118.45415447671,0.4528488917549237,0.6859537949897991,0.0,145
baseline,0.0,low,-19848.610864792427,463.9093391588778,139.4943779776926,2773.1330615348247,0.03793976496884695,0.0,137
baseline,0.0,middle,-3185.904053856738,0.48637295493308685,431.30907741028557,0.35920229342793836,0.6812839378142442,0.0,1142
steer,-0.05,high,-13198.859467605065,0.5640365102287073,59131.60986680014,0.48739592528034903,0.6063985911133731,0.0720229299201084,145
steer,-0.05,low,-23246.790541600138,2919.908472209827,619.5160800958237,1949.1323198068642,0.05584053778392093,0.012473190788784656,137
steer,-0.05,middle,-4187.327789199749,0.5104203548468245,436.7833572443822,0.38244351263454873,0.6213884684488613,0.08523158179707181,1142
steer,-0.02,high,-9708.128532883216,0.5436063136900255,59118.60849774567,0.4689361990292974,0.6666078786991922,0.06306238802358637,145
steer,-0.02,low,-20761.00062104385,953.5760541897247,143.6352693231833,663.1110504981413,0.06261590621723066,0.004961516513331134,137
steer,-0.02,middle,-3695.8971482258544,0.49428500054899294,432.02576267654536,0.36357209111571814,0.6538130410840073,0.08246052302986925,1142
steer,0.02,high,-8936.187872524919,0.5475496522806307,59120.724132202835,0.4768440417688468,0.7736585694879037,0.06644153846146796,145
steer,0.02,low,-20154.331514455975,1239.4791428887145,220.68664084832298,821.3903021748334,0.05354118813679003,0.00505089419821692,137
steer,0.02,middle,-3371.9203140071727,0.49751917364000164,432.83565145626693,0.36995018021311227,0.7062138146380348,0.08535952922977705,1142
steer,0.05,high,-14047.303815749596,0.5786793200066179,59138.752293341284,0.4934060419556396,0.7923715793174403,0.08410901884580481,145
steer,0.05,low,-22050.057567290147,4021.661261691015,848.279884933243,3851.835816826221,0.08152193789214005,0.012958416225810121,137
steer,0.05,middle,-3628.9810566008614,0.5234576229323362,438.8731622966386,0.3856338450867412,0.7525904641715865,0.09283099298281008,1142
