name,label,layer,token_position,pooling_mode,pc_1,pc_2,pc_3
current_sparsity__layer_-1__all_context__per_variate,current_sparsity,-1,all_context,per_variate,7.3524585,-2.2203867,-0.7774971
current_sparsity__layer_-1__all_context__series_mean,current_sparsity,-1,all_context,series_mean,7.352237,-2.2197735,-0.7773607
current_sparsity__layer_-1__final_context__per_variate,current_sparsity,-1,final_context,per_variate,7.3727946,-2.2415922,-0.7601013
current_sparsity__layer_-1__final_context__series_mean,current_sparsity,-1,final_context,series_mean,7.3561435,-2.221351,-0.77481866
current_sparsity__layer_-1__first_decode__per_variate,current_sparsity,-1,first_decode,per_variate,7.3235893,-2.1748135,-0.7990767
current_sparsity__layer_-1__first_decode__series_mean,current_sparsity,-1,first_decode,series_mean,7.3371725,-2.1955016,-0.7887812
current_sparsity__layer_0__all_context__per_variate,current_sparsity,0,all_context,per_variate,7.8972216,-2.263501,-0.7729229
current_sparsity__layer_0__all_context__series_mean,current_sparsity,0,all_context,series_mean,7.5653725,-2.2361898,-0.7751588
current_sparsity__layer_0__final_context__per_variate,current_sparsity,0,final_context,per_variate,7.889031,-2.2799387,-0.7531266
current_sparsity__layer_0__final_context__series_mean,current_sparsity,0,final_context,series_mean,7.557431,-2.2355397,-0.7684418
current_sparsity__layer_0__first_decode__per_variate,current_sparsity,0,first_decode,per_variate,7.6735396,-2.195388,-0.76941085
current_sparsity__layer_0__first_decode__series_mean,current_sparsity,0,first_decode,series_mean,7.486212,-2.2041125,-0.7752842
current_sparsity__layer_1__all_context__per_variate,current_sparsity,1,all_context,per_variate,8.4085865,-2.2635765,-0.7511787
current_sparsity__layer_1__all_context__series_mean,current_sparsity,1,all_context,series_mean,7.7540684,-2.2374916,-0.7683938
current_sparsity__layer_1__final_context__per_variate,current_sparsity,1,final_context,per_variate,8.383166,-2.2770953,-0.7442032
current_sparsity__layer_1__final_context__series_mean,current_sparsity,1,final_context,series_mean,7.7316318,-2.234375,-0.7665274
current_sparsity__layer_1__first_decode__per_variate,current_sparsity,1,first_decode,per_variate,7.8321733,-2.1958697,-0.76792413
current_sparsity__layer_1__first_decode__series_mean,current_sparsity,1,first_decode,series_mean,7.532115,-2.2042413,-0.77493185
current_sparsity__layer_2__all_context__per_variate,current_sparsity,2,all_context,per_variate,8.555725,-2.2352571,-0.75365144
current_sparsity__layer_2__all_context__series_mean,current_sparsity,2,all_context,series_mean,7.815527,-2.2273903,-0.76965666
current_sparsity__layer_2__final_context__per_variate,current_sparsity,2,final_context,per_variate,8.499852,-2.2454917,-0.74863195
current_sparsity__layer_2__final_context__series_mean,current_sparsity,2,final_context,series_mean,7.782376,-2.223617,-0.7677893
current_sparsity__layer_2__first_decode__per_variate,current_sparsity,2,first_decode,per_variate,7.8855247,-2.179059,-0.7673541
current_sparsity__layer_2__first_decode__series_mean,current_sparsity,2,first_decode,series_mean,7.552758,-2.1981223,-0.7746906
current_sparsity__layer_3__all_context__per_variate,current_sparsity,3,all_context,per_variate,8.623788,-2.2143593,-0.7616627
current_sparsity__layer_3__all_context__series_mean,current_sparsity,3,all_context,series_mean,7.847541,-2.2199366,-0.77261716
current_sparsity__layer_3__final_context__per_variate,current_sparsity,3,final_context,per_variate,8.532548,-2.2227986,-0.7562039
current_sparsity__layer_3__final_context__series_mean,current_sparsity,3,final_context,series_mean,7.8022294,-2.2155726,-0.77050674
current_sparsity__layer_3__first_decode__per_variate,current_sparsity,3,first_decode,per_variate,7.9738884,-2.174505,-0.76587236
current_sparsity__layer_3__first_decode__series_mean,current_sparsity,3,first_decode,series_mean,7.5888767,-2.1967883,-0.7739916
current_sparsity__layer_4__all_context__per_variate,current_sparsity,4,all_context,per_variate,8.659114,-2.200619,-0.76417327
current_sparsity__layer_4__all_context__series_mean,current_sparsity,4,all_context,series_mean,7.868461,-2.214795,-0.77341527
current_sparsity__layer_4__final_context__per_variate,current_sparsity,4,final_context,per_variate,8.523344,-2.2067924,-0.75641286
current_sparsity__layer_4__final_context__series_mean,current_sparsity,4,final_context,series_mean,7.8107953,-2.2098942,-0.7702351
current_sparsity__layer_4__first_decode__per_variate,current_sparsity,4,first_decode,per_variate,8.107349,-2.182338,-0.75902957
current_sparsity__layer_4__first_decode__series_mean,current_sparsity,4,first_decode,series_mean,7.6467843,-2.2003887,-0.7708599
current_sparsity__layer_5__all_context__per_variate,current_sparsity,5,all_context,per_variate,8.690141,-2.1905394,-0.7628979
current_sparsity__layer_5__all_context__series_mean,current_sparsity,5,all_context,series_mean,7.8879194,-2.2108858,-0.77297807
current_sparsity__layer_5__final_context__per_variate,current_sparsity,5,final_context,per_variate,8.517899,-2.1942613,-0.753168
current_sparsity__layer_5__final_context__series_mean,current_sparsity,5,final_context,series_mean,7.8207088,-2.2051754,-0.76929265
current_sparsity__layer_5__first_decode__per_variate,current_sparsity,5,first_decode,per_variate,8.196863,-2.182492,-0.75445557
current_sparsity__layer_5__first_decode__series_mean,current_sparsity,5,first_decode,series_mean,7.6921406,-2.2012753,-0.7687641
current_sparsity__layer_6__all_context__per_variate,current_sparsity,6,all_context,per_variate,8.690675,-2.1710312,-0.77663666
current_sparsity__layer_6__all_context__series_mean,current_sparsity,6,all_context,series_mean,7.8954296,-2.2036102,-0.7781126
current_sparsity__layer_6__final_context__per_variate,current_sparsity,6,final_context,per_variate,8.542714,-2.1787605,-0.76394683
current_sparsity__layer_6__final_context__series_mean,current_sparsity,6,final_context,series_mean,7.8428655,-2.1999424,-0.77350074
current_sparsity__layer_6__first_decode__per_variate,current_sparsity,6,first_decode,per_variate,8.305453,-2.1783898,-0.763067
current_sparsity__layer_6__first_decode__series_mean,current_sparsity,6,first_decode,series_mean,7.7431655,-2.2003472,-0.7716946
current_sparsity__layer_7__all_context__per_variate,current_sparsity,7,all_context,per_variate,8.768253,-2.1701205,-0.7738948
current_sparsity__layer_7__all_context__series_mean,current_sparsity,7,all_context,series_mean,7.932306,-2.2037456,-0.7767261
current_sparsity__layer_7__final_context__per_variate,current_sparsity,7,final_context,per_variate,8.602104,-2.1770425,-0.7590806
current_sparsity__layer_7__final_context__series_mean,current_sparsity,7,final_context,series_mean,7.874996,-2.2002208,-0.7711985
current_sparsity__layer_7__first_decode__per_variate,current_sparsity,7,first_decode,per_variate,8.447688,-2.1910455,-0.7550462
current_sparsity__layer_7__first_decode__series_mean,current_sparsity,7,first_decode,series_mean,7.8054447,-2.2060082,-0.7676589
current_sparsity__layer_8__all_context__per_variate,current_sparsity,8,all_context,per_variate,8.829164,-2.164528,-0.77489346
current_sparsity__layer_8__all_context__series_mean,current_sparsity,8,all_context,series_mean,7.957309,-2.201407,-0.7767097
current_sparsity__layer_8__final_context__per_variate,current_sparsity,8,final_context,per_variate,8.675212,-2.1735291,-0.7585582
current_sparsity__layer_8__final_context__series_mean,current_sparsity,8,final_context,series_mean,7.906513,-2.199205,-0.770689
current_sparsity__layer_8__first_decode__per_variate,current_sparsity,8,first_decode,per_variate,8.596934,-2.2041478,-0.7506312
current_sparsity__layer_8__first_decode__series_mean,current_sparsity,8,first_decode,series_mean,7.868161,-2.2111187,-0.76550186
current_sparsity__layer_9__all_context__per_variate,current_sparsity,9,all_context,per_variate,8.888569,-2.1669753,-0.7710787
current_sparsity__layer_9__all_context__series_mean,current_sparsity,9,all_context,series_mean,7.9855437,-2.2027898,-0.7744342
current_sparsity__layer_9__final_context__per_variate,current_sparsity,9,final_context,per_variate,8.805462,-2.1821404,-0.75324756
