mode,strength,subset,probe_score,wape,mase,wql,median_spread,median_forecast_change,window_count
baseline,0.0,high,0.5682913431323561,0.5243734254169571,6.257346678339103,0.4145509759615735,0.6667966406067651,0.0,532
baseline,0.0,low,0.39931182759917444,210.46367498353075,42.70568201863536,439.33751888382784,0.5543456106857371,0.0,576
baseline,0.0,middle,0.6160770822316408,0.4573881776735786,1.931255460624819,0.36910847318884205,0.5538828760424318,0.0,288
steer,-0.05,high,0.5667097915272067,0.5548874184900973,6.8346655575775195,0.4411556398107835,0.7367890302653781,0.08598302395491776,532
steer,-0.05,low,0.4096862271221148,850.1787271503879,167.22201477837365,467.8864083637205,0.5907710289686494,0.0756731305394472,576
steer,-0.05,middle,0.6133951981448464,0.47185892534788754,1.9822950283276082,0.3840905662897664,0.6220707937754923,0.062244818380956225,288
steer,-0.02,high,0.5683878770000056,0.5332130525944352,6.382106192159318,0.43099729469253006,0.6974139559398671,0.07594660067914624,532
steer,-0.02,low,0.4269909017408888,372.37228396377236,74.46726098525677,315.1219080657777,0.5684683944386456,0.07114914740188599,576
steer,-0.02,middle,0.613875125741793,0.4601278978732463,1.9395860182004216,0.371294324207055,0.5764591102585351,0.055905700145255345,288
steer,0.02,high,0.5693810928360861,0.5341121030462191,6.370095972419717,0.4171029886818811,0.6566780799521917,0.07507297380215093,532
steer,0.02,low,0.4243023034909533,350.41389052398233,71.00230388387955,284.278976613377,0.5479846402142559,0.07033785298750041,576
steer,0.02,middle,0.6230851805044545,0.4604620573345461,1.9489627979381576,0.37139703128034146,0.5535728716107163,0.055549015385622624,288
steer,0.05,high,0.5563276127204859,0.5578206011860131,6.784840088141098,0.4496309022072097,0.6697558086431984,0.08314711483842273,532
steer,0.05,low,0.41617043875157833,822.9422014628684,165.1187288453832,449.4754978494767,0.5409501137055486,0.07234813682730924,576
steer,0.05,middle,0.6031834610427419,0.47223325670522864,1.9888612598063047,0.38022943973030326,0.5451377564143817,0.06078303806619564,288
