benchmark,dataset_name,probe_label,probe_path,layer,token_position,pooling_mode,transfer_r2,transfer_rmse,transfer_mae,baseline_transfer_r2,baseline_transfer_rmse,baseline_transfer_mae,transfer_count
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/coordination__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,-1.0655717929683042,0.31047277989444283,0.21813772459550976,-197.74530298026212,3.0454524277762802,2.7231111909023924,6.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/coordination__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-1.2469090705926407,0.32381438055820044,0.2581251499548381,-197.74530298026212,3.0454524277762802,2.7231111909023924,6.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/coordination__layer_3__all_context__per_variate.pt,3,all_context,per_variate,0.01269987734794753,0.2146485596375883,0.18946480496531265,-14.686448304681926,0.8555899890049872,0.7138487084004181,672.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/coordination__layer_3__final_context__per_variate.pt,3,final_context,per_variate,-0.9537553087698423,0.3019523880302695,0.24698969571767673,-14.686737294623592,0.8555978701950889,0.7138786165603098,42.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/coordination__layer_5__first_decode__per_variate.pt,5,first_decode,per_variate,-0.8672690546244555,0.29519352903002,0.24018399204636462,-14.686737294623592,0.8555978701950889,0.7138786165603098,42.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/coordination__layer_11__all_context__series_mean.pt,11,all_context,series_mean,-1.0067971261102802,0.30602373986685283,0.2371614355220241,-197.77920342252366,3.0457121516048478,2.723384835141466,96.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/current_burstiness__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,-0.2007903021388444,1245860.521394901,509453.05267937976,-0.20079030766008654,1245860.5242591386,509456.6211198966,6.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/current_burstiness__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-0.19921690363398503,1245044.0267811508,509121.8958701293,-0.20079030766008654,1245860.5242591386,509456.6211198966,6.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/current_burstiness__layer_4__first_decode__per_variate.pt,4,first_decode,per_variate,-0.19964323911908433,1245265.3208935605,509208.9759197677,-0.20079030766008676,1245860.5242591386,509456.6211198966,42.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/current_burstiness__layer_7__final_context__per_variate.pt,7,final_context,per_variate,-0.200340762476803,1245627.2932682685,509360.2253847349,-0.20079030766008676,1245860.5242591386,509456.6211198966,42.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/current_burstiness__layer_8__all_context__per_variate.pt,8,all_context,per_variate,-0.1998993091988559,1245398.2179770789,509254.82439608383,-0.20079030766008654,1245860.5242591386,509456.6211198966,672.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/current_burstiness__layer_11__all_context__series_mean.pt,11,all_context,series_mean,-0.19941355271007044,1245146.1045289186,509141.5845067186,-0.20079030766008654,1245860.5242591386,509456.6211198966,96.0
fev,ETT_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed46/probes/artifacts/current_sparsity__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,-0.909304132642323,0.12060114983112832,0.08619671692184423,0.999994355215044,0.0002073660203434985,0.00016934521763972018,6.0
