name,label,layer,token_position,pooling_mode,pc_1,pc_2,pc_3
current_sparsity__layer_-1__all_context__per_variate,current_sparsity,-1,all_context,per_variate,0.67787284,0.024368413,-0.037182763
current_sparsity__layer_-1__all_context__series_mean,current_sparsity,-1,all_context,series_mean,0.67974395,0.028307019,-0.037288204
current_sparsity__layer_-1__final_context__per_variate,current_sparsity,-1,final_context,per_variate,0.72300375,0.009778226,-0.03265019
current_sparsity__layer_-1__final_context__series_mean,current_sparsity,-1,final_context,series_mean,0.698061,0.031226251,-0.038410436
current_sparsity__layer_-1__first_decode__per_variate,current_sparsity,-1,first_decode,per_variate,0.6784214,0.027931023,-0.03639899
current_sparsity__layer_-1__first_decode__series_mean,current_sparsity,-1,first_decode,series_mean,0.678269,0.028145159,-0.036434572
current_sparsity__layer_0__all_context__per_variate,current_sparsity,0,all_context,per_variate,0.6775861,0.02432114,-0.03666935
current_sparsity__layer_0__all_context__series_mean,current_sparsity,0,all_context,series_mean,0.67963177,0.028288806,-0.03704799
current_sparsity__layer_0__final_context__per_variate,current_sparsity,0,final_context,per_variate,0.7227077,0.009704789,-0.032175064
current_sparsity__layer_0__final_context__series_mean,current_sparsity,0,final_context,series_mean,0.6979379,0.031201039,-0.038156163
current_sparsity__layer_0__first_decode__per_variate,current_sparsity,0,first_decode,per_variate,0.67814755,0.027891232,-0.03595872
current_sparsity__layer_0__first_decode__series_mean,current_sparsity,0,first_decode,series_mean,0.67816806,0.028118502,-0.03619529
current_sparsity__layer_1__all_context__per_variate,current_sparsity,1,all_context,per_variate,0.67769647,0.02426467,-0.036172606
current_sparsity__layer_1__all_context__series_mean,current_sparsity,1,all_context,series_mean,0.67968166,0.028277617,-0.03682018
current_sparsity__layer_1__final_context__per_variate,current_sparsity,1,final_context,per_variate,0.72282106,0.009619929,-0.031705856
current_sparsity__layer_1__final_context__series_mean,current_sparsity,1,final_context,series_mean,0.6979804,0.03117023,-0.03793227
current_sparsity__layer_1__first_decode__per_variate,current_sparsity,1,first_decode,per_variate,0.6782376,0.027817957,-0.0354997
current_sparsity__layer_1__first_decode__series_mean,current_sparsity,1,first_decode,series_mean,0.67818934,0.028092304,-0.035976484
current_sparsity__layer_2__all_context__per_variate,current_sparsity,2,all_context,per_variate,0.677868,0.024062512,-0.035983995
current_sparsity__layer_2__all_context__series_mean,current_sparsity,2,all_context,series_mean,0.6797653,0.028173398,-0.036747735
current_sparsity__layer_2__final_context__per_variate,current_sparsity,2,final_context,per_variate,0.7229858,0.0094494615,-0.03152011
current_sparsity__layer_2__final_context__series_mean,current_sparsity,2,final_context,series_mean,0.69806755,0.031073658,-0.037862383
current_sparsity__layer_2__first_decode__per_variate,current_sparsity,2,first_decode,per_variate,0.6783924,0.027665801,-0.035318952
current_sparsity__layer_2__first_decode__series_mean,current_sparsity,2,first_decode,series_mean,0.67827094,0.028016405,-0.035897717
current_sparsity__layer_3__all_context__per_variate,current_sparsity,3,all_context,per_variate,0.6777476,0.024013445,-0.035640776
current_sparsity__layer_3__all_context__series_mean,current_sparsity,3,all_context,series_mean,0.6797163,0.028166618,-0.03660536
current_sparsity__layer_3__final_context__per_variate,current_sparsity,3,final_context,per_variate,0.72286636,0.009396016,-0.031186478
current_sparsity__layer_3__final_context__series_mean,current_sparsity,3,final_context,series_mean,0.6980057,0.03106169,-0.037710167
current_sparsity__layer_3__first_decode__per_variate,current_sparsity,3,first_decode,per_variate,0.6782888,0.02761308,-0.034984734
current_sparsity__layer_3__first_decode__series_mean,current_sparsity,3,first_decode,series_mean,0.6782445,0.028013058,-0.035753794
current_sparsity__layer_4__all_context__per_variate,current_sparsity,4,all_context,per_variate,0.6778044,0.024481708,-0.035860647
current_sparsity__layer_4__all_context__series_mean,current_sparsity,4,all_context,series_mean,0.67973566,0.028388232,-0.03669927
current_sparsity__layer_4__final_context__per_variate,current_sparsity,4,final_context,per_variate,0.72292393,0.0098299505,-0.031406607
current_sparsity__layer_4__final_context__series_mean,current_sparsity,4,final_context,series_mean,0.6980302,0.031289242,-0.037812468
current_sparsity__layer_4__first_decode__per_variate,current_sparsity,4,first_decode,per_variate,0.67834866,0.028020203,-0.035200946
current_sparsity__layer_4__first_decode__series_mean,current_sparsity,4,first_decode,series_mean,0.6782648,0.028245388,-0.035847574
current_sparsity__layer_5__all_context__per_variate,current_sparsity,5,all_context,per_variate,0.677668,0.024591943,-0.03565372
current_sparsity__layer_5__all_context__series_mean,current_sparsity,5,all_context,series_mean,0.6796721,0.028424367,-0.036593303
current_sparsity__layer_5__final_context__per_variate,current_sparsity,5,final_context,per_variate,0.72280097,0.009953685,-0.031220835
current_sparsity__layer_5__final_context__series_mean,current_sparsity,5,final_context,series_mean,0.69795936,0.03133952,-0.03769834
current_sparsity__layer_5__first_decode__per_variate,current_sparsity,5,first_decode,per_variate,0.67824715,0.028147468,-0.03501968
current_sparsity__layer_5__first_decode__series_mean,current_sparsity,5,first_decode,series_mean,0.6782057,0.02827848,-0.035751294
current_sparsity__layer_6__all_context__per_variate,current_sparsity,6,all_context,per_variate,0.6776335,0.024509134,-0.0355834
current_sparsity__layer_6__all_context__series_mean,current_sparsity,6,all_context,series_mean,0.67964923,0.02837227,-0.036569573
current_sparsity__layer_6__final_context__per_variate,current_sparsity,6,final_context,per_variate,0.7227756,0.009893127,-0.03113773
current_sparsity__layer_6__final_context__series_mean,current_sparsity,6,final_context,series_mean,0.69793457,0.03129499,-0.03764985
current_sparsity__layer_6__first_decode__per_variate,current_sparsity,6,first_decode,per_variate,0.67822576,0.028085487,-0.034954038
current_sparsity__layer_6__first_decode__series_mean,current_sparsity,6,first_decode,series_mean,0.6781703,0.028225694,-0.035727598
current_sparsity__layer_7__all_context__per_variate,current_sparsity,7,all_context,per_variate,0.6774027,0.024353849,-0.035816167
current_sparsity__layer_7__all_context__series_mean,current_sparsity,7,all_context,series_mean,0.67952955,0.028312847,-0.036672626
current_sparsity__layer_7__final_context__per_variate,current_sparsity,7,final_context,per_variate,0.7225764,0.009746886,-0.031364128
current_sparsity__layer_7__final_context__series_mean,current_sparsity,7,final_context,series_mean,0.6978153,0.031242944,-0.037770085
current_sparsity__layer_7__first_decode__per_variate,current_sparsity,7,first_decode,per_variate,0.6780282,0.027924351,-0.03516656
current_sparsity__layer_7__first_decode__series_mean,current_sparsity,7,first_decode,series_mean,0.6780642,0.02816908,-0.035830773
current_sparsity__layer_8__all_context__per_variate,current_sparsity,8,all_context,per_variate,0.67758405,0.024444591,-0.035617836
current_sparsity__layer_8__all_context__series_mean,current_sparsity,8,all_context,series_mean,0.6796138,0.02835625,-0.036592945
current_sparsity__layer_8__final_context__per_variate,current_sparsity,8,final_context,per_variate,0.7227288,0.009824042,-0.03116041
current_sparsity__layer_8__final_context__series_mean,current_sparsity,8,final_context,series_mean,0.6978964,0.031283908,-0.037673373
current_sparsity__layer_8__first_decode__per_variate,current_sparsity,8,first_decode,per_variate,0.6781783,0.028001327,-0.03497925
current_sparsity__layer_8__first_decode__series_mean,current_sparsity,8,first_decode,series_mean,0.67814386,0.028219821,-0.03575808
current_sparsity__layer_9__all_context__per_variate,current_sparsity,9,all_context,per_variate,0.6777182,0.02448032,-0.03531528
current_sparsity__layer_9__all_context__series_mean,current_sparsity,9,all_context,series_mean,0.6796776,0.028362844,-0.036450397
current_sparsity__layer_9__final_context__per_variate,current_sparsity,9,final_context,per_variate,0.72286,0.009871289,-0.030869558
current_sparsity__layer_9__final_context__series_mean,current_sparsity,9,final_context,series_mean,0.6979702,0.031288173,-0.037521478
current_sparsity__layer_9__first_decode__per_variate,current_sparsity,9,first_decode,per_variate,0.67829996,0.02805532,-0.034704614
current_sparsity__layer_9__first_decode__series_mean,current_sparsity,9,first_decode,series_mean,0.6781955,0.028221877,-0.035620783
current_sparsity__layer_10__all_context__per_variate,current_sparsity,10,all_context,per_variate,0.67772853,0.02455861,-0.035643112
current_sparsity__layer_10__all_context__series_mean,current_sparsity,10,all_context,series_mean,0.67969143,0.02840386,-0.03659781
current_sparsity__layer_10__final_context__per_variate,current_sparsity,10,final_context,per_variate,0.7228826,0.009931383,-0.031181503
current_sparsity__layer_10__final_context__series_mean,current_sparsity,10,final_context,series_mean,0.6979982,0.031323176,-0.037657786
current_sparsity__layer_10__first_decode__per_variate,current_sparsity,10,first_decode,per_variate,0.6783198,0.02812628,-0.0350064
current_sparsity__layer_10__first_decode__series_mean,current_sparsity,10,first_decode,series_mean,0.67820364,0.028255507,-0.03576375
current_sparsity__layer_11__all_context__per_variate,current_sparsity,11,all_context,per_variate,0.67756,0.02466272,-0.035595294
current_sparsity__layer_11__all_context__series_mean,current_sparsity,11,all_context,series_mean,0.6796086,0.028445432,-0.036590915
current_sparsity__layer_11__final_context__per_variate,current_sparsity,11,final_context,per_variate,0.7227585,0.010047758,-0.031144878
current_sparsity__layer_11__final_context__series_mean,current_sparsity,11,final_context,series_mean,0.6979268,0.03138983,-0.037661348
