label,task_type,method,model_id,weight_source,backbone_train_mode,checkpoint_path,randomize_scope,randomize_layers,seed,layer,token_position,pooling_mode,artifact_path,train_accuracy,train_macro_f1,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,baseline_train_accuracy,baseline_train_macro_f1,baseline_val_accuracy,baseline_val_macro_f1,baseline_test_accuracy,baseline_test_macro_f1,shuffled_train_accuracy,shuffled_train_macro_f1,shuffled_val_accuracy,shuffled_val_macro_f1,shuffled_test_accuracy,shuffled_test_macro_f1,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,baseline_train_r2,baseline_train_rmse,baseline_train_mae,baseline_val_r2,baseline_val_rmse,baseline_val_mae,baseline_test_r2,baseline_test_rmse,baseline_test_mae,shuffled_train_r2,shuffled_train_rmse,shuffled_train_mae,shuffled_val_r2,shuffled_val_rmse,shuffled_val_mae,shuffled_test_r2,shuffled_test_rmse,shuffled_test_mae
cardinality_bucket,categorical,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],42,-1,all_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/cardinality_bucket__layer_-1__all_context__series_mean.pt,0.32274669774669773,0.2670548600442889,0.305078125,0.25059362159814774,0.3001521535580524,0.25005466459247216,0.7801087801087802,0.6310716819559335,0.8,0.6407950174985702,0.7865168539325843,0.6526642151975545,0.28715034965034963,0.23627309346942654,0.2986979166666667,0.24720585454804428,0.3031952247191011,0.25612082511734013,,,,,,,,,,,,,,,,,,,,,,,,,,,
cardinality_bucket,categorical,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],42,11,final_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/cardinality_bucket__layer_11__final_context__series_mean.pt,0.5135975135975136,0.4682798985042492,0.25729166666666664,0.23806651116173555,0.28558052434456926,0.26715438845284945,0.7622377622377622,0.6139077245889796,0.7739583333333333,0.6153621489899659,0.7715355805243446,0.6440320602589389,0.2501942501942502,0.18479023908289804,0.26145833333333335,0.1996466715391792,0.2556179775280899,0.18737379421761025,,,,,,,,,,,,,,,,,,,,,,,,,,,
cardinality_bucket,categorical,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],42,3,first_decode,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/cardinality_bucket__layer_3__first_decode__series_mean.pt,0.9564879564879565,0.9538821241630744,0.29375,0.2674742142280913,0.28651685393258425,0.2689879062735682,0.7622377622377622,0.6139077245889796,0.7739583333333333,0.6153621489899659,0.7715355805243446,0.6440320602589389,0.38694638694638694,0.25779723965443846,0.2625,0.19915932490922994,0.27153558052434457,0.19507921794203711,,,,,,,,,,,,,,,,,,,,,,,,,,,
coordination,continuous,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],42,-1,all_context,per_variate,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_-1__all_context__per_variate.pt,,,,,,,,,,,,,,,,,,,0.006881452378513897,0.28229699250960716,0.21062034041519717,-0.004087138811181834,0.29697589562242294,0.22238023456432002,-0.012241327245526623,0.30109108153722053,0.2327592785128485,0.1175756203644649,0.2660997423487472,0.20449525704434487,0.044476703953169494,0.2897050985738157,0.22151537243057265,0.019335950700080096,0.2963575438139631,0.2283553979297317,-0.00045783807180144187,0.2833381803262158,0.21132034113848958,-0.0013914721920016415,0.2965769830148316,0.2219065415598776,-0.013238527667408961,0.30123935361185594,0.23273588087308625
coordination,continuous,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],42,-1,all_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_-1__all_context__series_mean.pt,,,,,,,,,,,,,,,,,,,0.005567409049468064,0.4546845273520544,0.42815498754221537,-0.0032820153445913824,0.45776813383440407,0.43104603466578767,0.0005405372301923173,0.45957776728319916,0.4366839356658783,0.0911933610613076,0.43466857818677573,0.39866217716996216,0.049192729786248335,0.4456360238082341,0.41295710214462483,0.0699146479441125,0.4433409230721309,0.41265018812726717,-0.0026898289556067656,0.4565683538027177,0.4304427067903475,-0.00491918837560501,0.45814147858757825,0.43217618202765146,-0.0033979790882034955,0.4604823936897735,0.4380706412687469
coordination,continuous,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],42,-1,final_context,per_variate,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_-1__final_context__per_variate.pt,,,,,,,,,,,,,,,,,,,0.023415061801397186,0.27993726541392727,0.20847871946620353,-0.01069593836572369,0.2979516253066118,0.22348160364572384,-0.009938249600133009,0.30074836137714184,0.232468358827541,0.11757561952034434,0.26609974247602175,0.20449429416319273,0.04447536831104426,0.28970530105040626,0.22151524816049142,0.0193392504669736,0.2963570452173055,0.22835504560097356,-0.0028688712931026483,0.28367938744975224,0.21169364653255937,-0.002398161805038379,0.2967260186213356,0.22208716185344612,-0.018691963944898582,0.3020489285806061,0.23285443503588896
coordination,continuous,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],42,-1,final_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_-1__final_context__series_mean.pt,,,,,,,,,,,,,,,,,,,0.09744882703068014,0.43317004732237174,0.39502955365207565,-0.10013842389777161,0.4793554951317387,0.4295738738047992,-0.06587510661398355,0.4746020158603986,0.4332573600542106,0.09119327284112211,0.43466859928397067,0.39866496951999103,0.04922254201952547,0.44562903737173104,0.4129636022078325,0.0699327481289348,0.44333660917143863,0.4126569045485574,-0.019862835660256595,0.4604615638642367,0.4251068673645949,-0.11057826276523297,0.48162456311255536,0.43766236502998446,-0.0714104006508649,0.4758327697314002,0.4391670294310776
coordination,continuous,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],42,-1,first_decode,per_variate,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_-1__first_decode__per_variate.pt,,,,,,,,,,,,,,,,,,,0.0302833114198805,0.27895113947862665,0.20828102438652452,-0.002596397797445027,0.29675535769593137,0.2224050499171433,-0.030975694141005983,0.3038645753286319,0.235567456033956,0.11757561952034434,0.26609974247602175,0.20449429416319273,0.04447536831104426,0.28970530105040626,0.22151524816049142,0.0193392504669736,0.2963570452173055,0.22835504560097356,-0.0032190732230641395,0.2837289135645341,0.2118139730960169,-0.004982969019593719,0.2971083446178879,0.22233750855182932,-0.026242923987831457,0.30316631665459964,0.23370439849860752
coordination,continuous,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],42,-1,first_decode,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_-1__first_decode__series_mean.pt,,,,,,,,,,,,,,,,,,,0.10402041585408195,0.4315901834216658,0.3947121289987131,-0.09106685807800363,0.4773750596472566,0.4273032502573024,-0.08041371991157908,0.47782785580136716,0.4359189329357008,0.09119327284112211,0.43466859928397067,0.39866496951999103,0.04922254201952547,0.44562903737173104,0.4129636022078325,0.0699327481289348,0.44333660917143863,0.4126569045485574,-0.022910927080728616,0.4611491474128697,0.42675356571315437,-0.1301551867133537,0.4858509820614586,0.4412771851375748,-0.0623686152606624,0.4738207053615101,0.44184617279686644
current_burstiness,continuous,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],42,11,all_context,per_variate,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_burstiness__layer_11__all_context__per_variate.pt,,,,,,,,,,,,,,,,,,,0.08336142714354977,6094794.248073181,3623502.840292932,0.027220466005020705,6440147.657606322,3801761.3241106174,-0.01561903801352904,4667276.838877549,3230560.4394637207,0.6649031860780659,3685064.8410594263,2545894.9914173414,0.4430431618756254,4873033.337916771,2799303.206958649,0.4495068707195543,3436165.6860393174,2226757.7131693107,-0.003850511114052324,6378146.742522458,3834780.3354320354,-0.00770619025536301,6554741.5976582905,3989101.203832402,-0.05858342237500036,4764975.691595223,3369081.1410008348
