benchmark,dataset_name,probe_label,probe_path,layer,token_position,pooling_mode,transfer_r2,transfer_rmse,transfer_mae,baseline_transfer_r2,baseline_transfer_rmse,baseline_transfer_mae,transfer_count
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_-1__all_context__per_variate.pt,-1,all_context,per_variate,-0.03597107722128823,0.2198756814437693,0.18681018060196244,-30.61805048428378,1.2147053026740176,1.0699735617119461,672.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_-1__all_context__series_mean.pt,-1,all_context,series_mean,-0.6759440208065803,0.279661792719586,0.19220423790759988,-164.9867529616058,2.7831723280660845,2.4874843306778036,96.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_-1__final_context__per_variate.pt,-1,final_context,per_variate,-0.018190027398708786,0.217980579395437,0.1839591708715377,-30.6183140792165,1.2147103660711953,1.069985709124293,42.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,-0.24626464141545146,0.24116180174004256,0.1625778329747257,-164.99225609757318,2.783218464424927,2.4874923458291174,6.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_-1__first_decode__per_variate.pt,-1,first_decode,per_variate,-0.12094128835875262,0.228715088428931,0.19328951383505114,-30.6183140792165,1.2147103660711953,1.069985709124293,42.0
fev,ETT_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-19.149328892143217,0.9696916947876733,0.9483151728934934,-164.99225609757318,2.783218464424927,2.4874923458291174,6.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_burstiness__layer_-1__first_decode__per_variate.pt,-1,first_decode,per_variate,-0.19944166909070282,1245160.698659764,509165.48235636664,-0.20079030766008676,1245860.5242591386,509456.6211198966,42.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_burstiness__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-0.19921689651617025,1245044.0230862426,509117.2955467701,-0.19921682628034199,1245043.9866263245,509062.00264933513,6.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_burstiness__layer_0__all_context__series_mean.pt,0,all_context,series_mean,-0.20051856494100395,1245719.5451554575,509385.1753471911,-0.1992168262803422,1245043.9866263247,509062.00264933513,96.0
fev,ETT_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_burstiness__layer_0__final_context__per_variate.pt,0,final_context,per_variate,-0.2002474194393864,1245578.8599819983,509338.73991812917,-0.20079030766008676,1245860.5242591386,509456.6211198966,42.0
